comments,created,expected,id,input,metadata,root_span_id,tags
,2026-04-15T10:00:00.000Z,,35bc54b9-274d-4187-84de-ba511b047aac,"""bootstrapped SaaS companies with over $1B in annual revenue""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",35bc54b9-274d-4187-84de-ba511b047aac,
,2026-04-15T10:00:00.000Z,,e64c88b3-993e-464c-b52d-6b7f665a3492,"""stealth startups with the highest public market share""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",e64c88b3-993e-464c-b52d-6b7f665a3492,
,2026-04-15T10:00:00.000Z,,82aafd79-5b6d-4592-a28d-5bb2d43d9fc8,"""private companies ranked by stock price""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""financial"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",82aafd79-5b6d-4592-a28d-5bb2d43d9fc8,
,2026-04-15T10:00:00.000Z,,9f8b3f29-2b96-4817-b864-da0c643418a6,"""non-profit tech companies ranked by profit margin""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",9f8b3f29-2b96-4817-b864-da0c643418a6,
,2026-04-15T10:00:00.000Z,,d1902d1d-94c5-4c21-8efd-40ea2dfaba9b,"""enterprise software companies with no enterprise customers""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",d1902d1d-94c5-4c21-8efd-40ea2dfaba9b,
,2026-04-15T10:00:00.000Z,,8ad6a337-f328-4953-97b9-d34f54d583ad,"""AI companies that don't use any AI in their product""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",8ad6a337-f328-4953-97b9-d34f54d583ad,
,2026-04-15T10:00:00.000Z,,a0523c46-705e-450d-8ef3-98d23dbb8810,"""free software companies with subscription revenue over $500M""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",a0523c46-705e-450d-8ef3-98d23dbb8810,
,2026-04-15T10:00:00.000Z,,a20450da-2e72-4f83-8f15-bf329b8f7ba4,"""local-only software companies with global market share over 20%""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",a20450da-2e72-4f83-8f15-bf329b8f7ba4,
,2026-04-15T10:00:00.000Z,,c71f28ec-2905-4968-b0ce-83d4fbf576de,"""mobile-first companies with no mobile app""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",c71f28ec-2905-4968-b0ce-83d4fbf576de,
,2026-04-15T10:00:00.000Z,,88a1ed6e-b588-4f72-a6d7-0a0b870024d7,"""real-time analytics companies that only do batch processing""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",88a1ed6e-b588-4f72-a6d7-0a0b870024d7,
,2026-04-15T10:00:00.000Z,,c6f1c92e-7180-4111-9b6e-835059d0509a,"""platform companies with exactly one customer""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",c6f1c92e-7180-4111-9b6e-835059d0509a,
,2026-04-15T10:00:00.000Z,,8fd4d207-4e98-42b7-87ab-cbffa2f9cb3e,"""open-source companies with fully proprietary codebases""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",8fd4d207-4e98-42b7-87ab-cbffa2f9cb3e,
,2026-04-15T10:00:00.000Z,,0adec62d-5b00-4370-8927-370cd39571be,"""remote-only companies where every employee works in an office""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",0adec62d-5b00-4370-8927-370cd39571be,
,2026-04-15T10:00:00.000Z,,4231a76b-faf3-47e4-b315-6c6c71d796d7,"""companies that are simultaneously publicly traded and private""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""financial"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",4231a76b-faf3-47e4-b315-6c6c71d796d7,
,2026-04-15T10:00:00.000Z,,b6c87517-073a-484a-97de-6b393fbb0308,"""early-stage startups that have been operating for over 50 years""","{""query_type"": ""edge_out_of_scope"", ""domain"": ""tech_saas"", ""style"": ""edge_out_of_scope"", ""temporal"": ""current"", ""edge_case"": true}",b6c87517-073a-484a-97de-6b393fbb0308,
